claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,10,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.05208559736853227,0.01202591215676117
4,paper,11,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.05736193551104124,0.01322072158865585
4,paper,12,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.0686085692010225,0.015463598501552775
4,paper,13,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.056402644430153456,0.012927094524281863
4,paper,14,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.06259938888443552,0.014100523774972243
4,paper,15,2197811594496866684,32,4,1024,0.007812500000000002,0.007812500000000002,0.001381067932004976,4,0.060809867870572895,0.013697718836819068
4,paper,0,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.0460486309068676,0.010528847653546685
4,paper,1,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.03999598898320382,0.009234720727765785
4,paper,2,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04867243643099808,0.01076294195060392
4,paper,3,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04417052396011465,0.009905768267245213
4,paper,4,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04447105912583413,0.010102131330203911
4,paper,5,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.038151532322730795,0.008589910671943923
4,paper,6,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.03811698591486458,0.008519025316747367
4,paper,7,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.044237223947489385,0.009921854796962145
4,paper,8,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04105515272236007,0.009380288987983421
4,paper,9,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04559924188392899,0.010326675715060928
4,paper,10,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.04049456485140149,0.00894603657393365
4,paper,11,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.048084224015620285,0.010590271840558236
4,paper,12,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.0405313390988077,0.009129001329567262
4,paper,13,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.046018067171106396,0.010368484011888187
4,paper,14,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.040910153494616075,0.009649868998300096
4,paper,15,15073521550159377638,32,4,2048,0.004921566601151849,0.004921566601151849,0.0008700182794339254,6,0.040489137992464196,0.00922820628414783
4,paper,0,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09681863101580526,0.02230628387149068
4,paper,1,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08608251804302673,0.018619573263385147
4,paper,2,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08962963525512631,0.018545849412305415
4,paper,3,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.07955841550133509,0.017225440435671684
4,paper,4,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.08301041610621164,0.01797642871801978
4,paper,5,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09004135666379141,0.019438272741634302
4,paper,6,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09124487715408261,0.01991727256466186
4,paper,7,10051204586756241593,32,8,256,0.024803141437003122,0.024803141437003122,0.004384617376208489,2,0.09738860398488815,0.021337234647064086
